LCOE,CF,IX,MIN_MW,MAX_MW,AVG_MW
58.42992708968981,0.31,1508102.51,26.5,662.4,204.75
71.56868204344612,0.25,453443.54,26.5,662.4,582.63
75.34077471565881,0.24,425962.4,26.5,662.4,619.72
78.53148778880538,0.23,433846.2,26.5,662.4,637.53
83.00200569054122,0.22,431484.58,26.5,662.4,645.66
