gid,latitude,longitude,elevation,timezone,config,geometry,index_right
8423,22.35,69.55,0.0,5.5,default,POINT (69.55 22.35),22
8424,22.45,69.55,0.0,5.5,default,POINT (69.55 22.45),22
8425,22.55,69.55,0.0,5.5,default,POINT (69.55 22.55),22
8752,22.25,69.65,0.0,5.5,default,POINT (69.65000000000001 22.25),22
8753,22.35,69.65,0.0,5.5,default,POINT (69.65000000000001 22.35),22
8754,22.45,69.65,0.0,5.5,default,POINT (69.65000000000001 22.45),22
8755,22.55,69.65,0.0,5.5,default,POINT (69.65000000000001 22.55),22
9078,21.85,69.75,0.0,5.5,default,POINT (69.75 21.85),22
9079,21.95,69.75,0.0,5.5,default,POINT (69.75 21.95),22
9080,22.05,69.75,0.0,5.5,default,POINT (69.75 22.05),22
9081,22.15,69.75,0.0,5.5,default,POINT (69.75 22.15),22
9082,22.25,69.75,0.0,5.5,default,POINT (69.75 22.25),22
9083,22.35,69.75,0.0,5.5,default,POINT (69.75 22.35),22
9084,22.45,69.75,0.0,5.5,default,POINT (69.75 22.45),22
9408,21.85,69.85,0.0,5.5,default,POINT (69.84999999999999 21.85),22
9409,21.95,69.85,0.0,5.5,default,POINT (69.84999999999999 21.95),22
9410,22.05,69.85,0.0,5.5,default,POINT (69.84999999999999 22.05),22
9411,22.15,69.85,0.0,5.5,default,POINT (69.84999999999999 22.15),22
9412,22.25,69.85,0.0,5.5,default,POINT (69.84999999999999 22.25),22
9413,22.35,69.85,0.0,5.5,default,POINT (69.84999999999999 22.35),22
9740,22.05,69.95,0.0,5.5,default,POINT (69.95 22.05),22
9741,22.15,69.95,0.0,5.5,default,POINT (69.95 22.15),22
9742,22.25,69.95,0.0,5.5,default,POINT (69.95 22.25),22
7424,21.45,69.25,0.0,5.0,default,POINT (69.25 21.45),260
7753,21.35,69.35,0.0,5.0,default,POINT (69.34999999999999 21.35),260
7754,21.45,69.35,0.0,5.0,default,POINT (69.34999999999999 21.45),260
8082,21.25,69.45,0.0,5.0,default,POINT (69.45 21.25),260
8083,21.35,69.45,0.0,5.0,default,POINT (69.45 21.35),260
8084,21.45,69.45,0.0,5.0,default,POINT (69.45 21.45),260
8412,21.25,69.55,0.0,5.0,default,POINT (69.55 21.25),260
8413,21.35,69.55,0.0,5.0,default,POINT (69.55 21.35),260
8414,21.45,69.55,0.0,5.5,default,POINT (69.55 21.45),260
8415,21.55,69.55,0.0,5.5,default,POINT (69.55 21.55),260
8742,21.25,69.65,0.0,5.0,default,POINT (69.65000000000001 21.25),260
8743,21.35,69.65,0.0,5.5,default,POINT (69.65000000000001 21.35),260
8744,21.45,69.65,0.0,5.5,default,POINT (69.65000000000001 21.45),260
8745,21.55,69.65,0.0,5.5,default,POINT (69.65000000000001 21.55),260
8746,21.65,69.65,0.0,5.5,default,POINT (69.65000000000001 21.65),260
9072,21.25,69.75,0.0,5.5,default,POINT (69.75 21.25),260
9073,21.35,69.75,0.0,5.5,default,POINT (69.75 21.35),260
9074,21.45,69.75,0.0,5.5,default,POINT (69.75 21.45),260
9075,21.55,69.75,0.0,5.5,default,POINT (69.75 21.55),260
9076,21.65,69.75,0.0,5.5,default,POINT (69.75 21.65),260
9077,21.75,69.75,0.0,5.5,default,POINT (69.75 21.75),260
9402,21.25,69.85,0.0,5.5,default,POINT (69.84999999999999 21.25),260
9403,21.35,69.85,0.0,5.5,default,POINT (69.84999999999999 21.35),260
9404,21.45,69.85,0.0,5.5,default,POINT (69.84999999999999 21.45),260
9405,21.55,69.85,0.0,5.5,default,POINT (69.84999999999999 21.55),260
9406,21.65,69.85,0.0,5.5,default,POINT (69.84999999999999 21.65),260
9407,21.75,69.85,0.0,5.5,default,POINT (69.84999999999999 21.75),260
9733,21.35,69.95,0.0,5.5,default,POINT (69.95 21.35),260
9734,21.45,69.95,0.0,5.5,default,POINT (69.95 21.45),260
9735,21.55,69.95,0.0,5.5,default,POINT (69.95 21.55),260
9736,21.65,69.95,0.0,5.5,default,POINT (69.95 21.65),260
9737,21.75,69.95,0.0,5.5,default,POINT (69.95 21.75),260
9738,21.85,69.95,0.0,5.5,default,POINT (69.95 21.85),260
9739,21.95,69.95,0.0,5.5,default,POINT (69.95 21.95),260
