latitude,longitude,elevation,timezone,config,geometry,index_right
22.35,69.35,0.0,5.5,default,POINT (69.34999999999999 22.35),22
22.45,69.35,0.0,5.5,default,POINT (69.34999999999999 22.45),22
22.55,69.35,0.0,5.5,default,POINT (69.34999999999999 22.55),22
21.75,69.45,0.0,5.5,default,POINT (69.45 21.75),22
21.85,69.45,0.0,5.5,default,POINT (69.45 21.85),22
21.95,69.45,0.0,5.5,default,POINT (69.45 21.95),22
22.05,69.45,0.0,5.5,default,POINT (69.45 22.05),22
22.15,69.45,0.0,5.5,default,POINT (69.45 22.15),22
22.25,69.45,0.0,5.5,default,POINT (69.45 22.25),22
22.35,69.45,0.0,5.5,default,POINT (69.45 22.35),22
22.45,69.45,0.0,5.5,default,POINT (69.45 22.45),22
22.55,69.45,0.0,5.5,default,POINT (69.45 22.55),22
21.75,69.55,0.0,5.5,default,POINT (69.55 21.75),22
21.85,69.55,0.0,5.5,default,POINT (69.55 21.85),22
21.95,69.55,0.0,5.5,default,POINT (69.55 21.95),22
22.05,69.55,0.0,5.5,default,POINT (69.55 22.05),22
22.15,69.55,0.0,5.5,default,POINT (69.55 22.15),22
22.25,69.55,0.0,5.5,default,POINT (69.55 22.25),22
22.35,69.55,0.0,5.5,default,POINT (69.55 22.35),22
22.45,69.55,0.0,5.5,default,POINT (69.55 22.45),22
22.55,69.55,0.0,5.5,default,POINT (69.55 22.55),22
21.75,69.65,0.0,5.5,default,POINT (69.65000000000001 21.75),22
21.85,69.65,0.0,5.5,default,POINT (69.65000000000001 21.85),22
21.95,69.65,0.0,5.5,default,POINT (69.65000000000001 21.95),22
22.05,69.65,0.0,5.5,default,POINT (69.65000000000001 22.05),22
22.15,69.65,0.0,5.5,default,POINT (69.65000000000001 22.15),22
22.25,69.65,0.0,5.5,default,POINT (69.65000000000001 22.25),22
22.35,69.65,0.0,5.5,default,POINT (69.65000000000001 22.35),22
22.45,69.65,0.0,5.5,default,POINT (69.65000000000001 22.45),22
22.55,69.65,0.0,5.5,default,POINT (69.65000000000001 22.55),22
21.85,69.75,0.0,5.5,default,POINT (69.75 21.85),22
21.95,69.75,0.0,5.5,default,POINT (69.75 21.95),22
22.05,69.75,0.0,5.5,default,POINT (69.75 22.05),22
22.15,69.75,0.0,5.5,default,POINT (69.75 22.15),22
22.25,69.75,0.0,5.5,default,POINT (69.75 22.25),22
22.35,69.75,0.0,5.5,default,POINT (69.75 22.35),22
22.45,69.75,0.0,5.5,default,POINT (69.75 22.45),22
21.85,69.85,0.0,5.5,default,POINT (69.84999999999999 21.85),22
21.95,69.85,0.0,5.5,default,POINT (69.84999999999999 21.95),22
22.05,69.85,0.0,5.5,default,POINT (69.84999999999999 22.05),22
22.15,69.85,0.0,5.5,default,POINT (69.84999999999999 22.15),22
22.25,69.85,0.0,5.5,default,POINT (69.84999999999999 22.25),22
22.35,69.85,0.0,5.5,default,POINT (69.84999999999999 22.35),22
22.05,69.95,0.0,5.5,default,POINT (69.95 22.05),22
22.15,69.95,0.0,5.5,default,POINT (69.95 22.15),22
22.25,69.95,0.0,5.5,default,POINT (69.95 22.25),22
21.65,69.15,0.0,5.0,default,POINT (69.15000000000001 21.65),260
21.45,69.25,0.0,5.0,default,POINT (69.25 21.45),260
21.55,69.25,0.0,5.0,default,POINT (69.25 21.55),260
21.65,69.25,0.0,5.0,default,POINT (69.25 21.65),260
21.75,69.25,0.0,5.5,default,POINT (69.25 21.75),260
21.85,69.25,0.0,5.5,default,POINT (69.25 21.85),260
21.35,69.35,0.0,5.0,default,POINT (69.34999999999999 21.35),260
21.45,69.35,0.0,5.0,default,POINT (69.34999999999999 21.45),260
21.55,69.35,0.0,5.0,default,POINT (69.34999999999999 21.55),260
21.65,69.35,0.0,5.5,default,POINT (69.34999999999999 21.65),260
21.75,69.35,0.0,5.5,default,POINT (69.34999999999999 21.75),260
21.85,69.35,0.0,5.5,default,POINT (69.34999999999999 21.85),260
21.95,69.35,0.0,5.5,default,POINT (69.34999999999999 21.95),260
21.25,69.45,0.0,5.0,default,POINT (69.45 21.25),260
21.35,69.45,0.0,5.0,default,POINT (69.45 21.35),260
21.45,69.45,0.0,5.0,default,POINT (69.45 21.45),260
21.55,69.45,0.0,5.5,default,POINT (69.45 21.55),260
