gid,latitude,longitude,elevation,offshore,wrf_region,config
661551,20.871498000000003,86.90556,5,0,1,default
684848,21.559883,84.36533,261,0,1,default
659623,20.816292,84.3358,81,0,1,default
102916,25.423279,84.43083,75,0,0,default
47413,23.406212,86.55753,217,0,0,default
118526,25.982193,85.87817,50,0,0,default
633241,20.013512,85.812675,12,0,1,default
713778,24.280089999999998,87.73261,50,0,1,default
692058,22.02613,88.41197,7,0,1,default
661532,20.871498000000003,86.34434499999999,18,0,1,default
694636,22.299682999999998,87.1714,63,0,1,default
635053,20.069008,86.078514,12,0,1,default
688965,21.697174,86.96464,15,0,1,default
120745,26.061821,85.76002,52,0,0,default
48838,23.460419,84.87389,653,0,0,default
713805,24.280089999999998,88.53013,21,0,1,default
720599,24.978195,87.99845,32,0,1,default
52577,23.595825,85.87817,384,0,0,default
124446,26.19442,85.64187,57,0,0,default
721657,25.08525,88.29382,34,0,1,default
624175,19.735725,82.79984,243,0,1,default
612647,19.373886,82.47493,581,0,1,default
53318,23.622887,85.87817,372,0,0,default
101438,25.369919,84.54898,74,0,0,default
45144,23.324875,85.19881,711,0,0,default
712987,24.199286999999998,87.58492,119,0,1,default
669751,21.119682,83.24290500000001,217,0,1,default
125199,26.220924,85.996315,54,0,0,default
694933,22.327011,88.205215,8,0,1,default
648575,20.484612,83.00661,258,0,1,default
127391,26.300385,85.08066,61,0,0,default
692831,22.108253,88.027985,6,0,1,default
653148,20.622902,82.94753,297,0,1,default
123716,26.167907999999997,85.96678,55,0,0,default
657859,20.761063,86.55111,6,0,1,default
118535,25.982193,86.144005,50,0,0,default
599595,18.955382999999998,82.88846,807,0,1,default
668941,21.092133,86.787415,3,0,1,default
720836,25.00496,87.26001,66,0,1,default
106673,25.556587,85.96678,47,0,0,default
80688,24.620338,84.48991,142,0,0,default
113346,25.79618,86.08493,46,0,0,default
131805,26.459159999999997,84.13545,78,0,0,default
33328,22.89019,86.38031,279,0,0,default
585045,18.479797,82.88846,907,0,1,default
134783,26.564873,84.54898,72,0,0,default
695738,22.40895,88.766426,2,0,1,default
723500,25.272362,88.55966,29,0,1,default
719544,24.87104,87.79169,28,0,1,default
90319,24.968918,84.43083,92,0,0,default
616253,19.485313,84.86747,27,0,1,default
134056,26.538459999999997,84.9625,70,0,0,default
711144,24.01056,87.319084,116,0,1,default
131860,26.459159999999997,85.76002,59,0,0,default
701977,23.062767,87.37816,76,0,1,default
635958,20.096748,86.13759,13,0,1,default
715069,24.414635,87.1714,181,0,1,default
704330,23.307137,87.26001,72,0,1,default
668940,21.092133,86.75787,4,0,1,default
706443,23.523972,87.76215,38,0,1,default
668834,21.092133,83.62689,160,0,1,default
671615,21.174782,83.21337,292,0,1,default
43669,23.270607000000002,85.40556,656,0,0,default
95493,25.15622,84.046844,91,0,0,default
689682,21.77948,87.8803,4,0,1,default
704089,23.280006,87.8803,36,0,1,default
688646,21.669724,83.92227,211,0,1,default
622480,19.680115,85.39915,12,0,1,default
722697,25.1922,88.057526,26,0,1,default
615304,19.457458,82.91799,715,0,1,default
108121,25.609879,84.9625,55,0,0,default
721887,25.112,87.348625,66,0,1,default
97001,25.209671,84.81482,68,0,0,default
124456,26.19442,85.93724,53,0,0,default
71113,24.270767000000003,86.20308,336,0,0,default
144408,26.907821999999996,84.312675,81,0,0,default
695447,22.381645000000002,87.909836,5,0,1,default
49571,23.48751,84.63759,690,0,0,default
722180,25.138733,88.26429,26,0,1,default
46614,23.379105,84.84435,672,0,0,default
674539,21.257393,86.66926600000001,12,0,1,default
662460,20.899094,86.55111,5,0,1,default
131106,26.432709000000003,85.37603,65,0,0,default
641369,20.2631,85.42869,75,0,1,default
115546,25.875946,85.40556,53,0,0,default
101429,25.369919,84.28314,77,0,0,default
82227,24.674019,86.173546,207,0,0,default
655929,20.70581,83.80412,146,0,1,default
710398,23.929579999999998,88.50059,18,0,1,default
118543,25.982193,86.38031,46,0,0,default
108180,25.609879,86.705215,39,0,0,default
10281,22.04403,84.13545,251,0,0,default
693864,22.217674,87.58492,14,0,1,default
89621,24.942145999999997,85.70094,80,0,0,default
597870,18.899498,82.94753,941,0,1,default
135513,26.591293,84.22407,81,0,0,default
93247,25.075974,83.36748,82,0,0,default
692795,22.108253,86.96464,89,0,1,default
681095,21.449959,85.57637,785,0,1,default
121464,26.088364000000002,85.11019,62,0,0,default
707224,23.605202,87.61446,47,0,1,default
53348,23.622887,86.7643,471,0,0,default
638661,20.179947,85.812675,12,0,1,default
119279,26.00875,86.23262,45,0,0,default
98446,25.263107,83.72193,73,0,0,default
708004,23.68637,87.43724,67,0,1,default
720872,25.00496,88.323364,39,0,1,default
709054,23.794525,87.496315,66,0,1,default
55568,23.704048,86.67568,132,0,0,default
635968,20.096748,86.43296,4,0,1,default
50364,23.514595,86.173546,237,0,0,default
692037,22.02613,87.79169,4,0,1,default
634121,20.04126,85.19238,92,0,1,default
93341,25.075974,86.144005,59,0,0,default
703329,23.198586,88.64828,10,0,1,default
684922,21.559883,86.55111,44,0,1,default
131885,26.459159999999997,86.49846,72,0,0,default
700170,22.87239,88.175674,11,0,1,default
639456,20.207664,82.53400400000001,413,0,1,default
634950,20.069008,83.03615,206,0,1,default
694108,22.24501,87.05325,43,0,1,default
103640,25.449959,83.92869,66,0,0,default
616260,19.485313,85.07423399999999,45,0,1,default
108892,25.636505,85.84863,48,0,0,default
28825,22.726814,84.69667,609,0,0,default
136264,26.617714000000003,84.51944,74,0,0,default
704862,23.361373999999998,87.496315,59,0,1,default
715590,24.468422,87.08279,170,0,1,default
90313,24.968918,84.2536,100,0,0,default
720076,24.924637,88.027985,30,0,1,default
128920,26.353333000000003,86.46892,63,0,0,default
605657,19.150818,82.65216,569,0,1,default
648572,20.484612,82.91799,293,0,1,default
139976,26.749657,84.72620400000001,73,0,0,default
91789,25.022469,84.07638,102,0,0,default
69642,24.216904,86.52799,251,0,0,default
710357,23.929579999999998,87.28955,136,0,1,default
82201,24.674019,85.40556,132,0,0,default
694951,22.327011,88.73689,2,0,1,default
660480,20.843895,82.47493,324,0,1,default
140001,26.749657,85.46464499999999,74,0,0,default
85209,24.781334,86.705215,175,0,0,default
102921,25.423279,84.578514,69,0,0,default
636851,20.124489,85.812675,14,0,1,default
91110,24.995697,85.90771,60,0,0,default
72573,24.324607999999998,85.55325,369,0,0,default
700972,22.954017999999998,88.64828,11,0,1,default
11821,22.098770000000002,85.84863,426,0,0,default
91777,25.022469,83.72193,89,0,0,default
51081,23.54168,85.46464499999999,853,0,0,default
88866,24.91536,85.287415,112,0,0,default
130392,26.40625,86.173546,62,0,0,default
710355,23.929579999999998,87.23048,142,0,1,default
62222,23.947235,86.23262,378,0,0,default
721903,25.112,87.82123,27,0,1,default
98438,25.263107,83.48563,73,0,0,default
721388,25.058495,88.08707,34,0,1,default
703319,23.198586,88.352905,11,0,1,default
137782,26.670509999999997,85.58279399999999,68,0,0,default
108142,25.609879,85.58279399999999,47,0,0,default
125935,26.247405999999998,85.84863,59,0,0,default
721654,25.08525,88.205215,30,0,1,default
91096,24.995697,85.49418,72,0,0,default
5090,21.852257,84.0173,229,0,0,default
722678,25.1922,87.496315,80,0,1,default
96990,25.209671,84.48991,85,0,0,default
51097,23.54168,85.93724,402,0,0,default
692039,22.02613,87.85076,5,0,1,default
701472,23.0084,87.93938,25,0,1,default
657799,20.761063,84.77886,290,0,1,default
81419,24.647179,84.19453,132,0,0,default
121440,26.088364000000002,84.40129,65,0,0,default
36306,22.998993,86.79383,165,0,0,default
59949,23.866226,84.75574499999999,535,0,0,default
725047,25.43251,87.82123,30,0,1,default
87423,24.86177,86.43938399999999,147,0,0,default
49642,23.48751,86.73476,183,0,0,default
697256,22.5727,87.1714,65,0,1,default
101435,25.369919,84.460365,75,0,0,default
669763,21.119682,83.59736,171,0,1,default
