gid,latitude,longitude,elevation,timezone,config
55599,20.95,83.85,0,5.5,default
71839,27.95,88.75,0,5.5,default
64213,24.35,86.45,0,5.5,default
65173,21.35,86.75,0,5.5,default
57940,24.05,84.55,0,5.5,default
57295,25.55,84.35,0,5.5,default
69481,23.15,88.05,0,5.5,default
60241,23.15,85.25,0,5.5,default
74464,26.45,89.55,0,5.5,default
57262,22.25,84.35,0,5.5,default
50957,18.75,82.45,0,5.5,default
67182,24.25,87.35,0,5.5,default
61899,23.95,85.75,0,5.5,default
72816,26.65,89.05,0,5.5,default
61914,25.45,85.75,0,5.5,default
59944,26.45,85.15,0,5.5,default
64515,21.55,86.55,0,5.5,default
65542,25.25,86.85,0,5.5,default
65870,25.05,86.95,0,5.5,default
63215,23.55,86.15,0,5.5,default
69811,23.15,88.15,0,5.5,default
59258,23.85,84.95,0,5.5,default
52623,20.35,82.95,0,5.5,default
63183,20.35,86.15,0,5.5,default
62911,26.15,86.05,0,5.5,default
55970,25.05,83.95,0,5.5,default
51943,18.35,82.75,0,5.5,default
66495,21.55,87.15,0,5.5,default
64235,26.55,86.45,0,5.5,default
70792,22.25,88.45,0,5.5,default
65528,23.85,86.85,0,5.5,default
66869,25.95,87.25,0,5.5,default
64545,24.55,86.55,0,5.5,default
65198,23.85,86.75,0,5.5,default
61900,24.05,85.75,0,5.5,default
63224,24.45,86.15,0,5.5,default
65546,25.65,86.85,0,5.5,default
60256,24.65,85.25,0,5.5,default
56912,20.25,84.25,0,5.5,default
65871,25.15,86.95,0,5.5,default
52613,19.35,82.95,0,5.5,default
56920,21.05,84.25,0,5.5,default
58886,19.65,84.85,0,5.5,default
65849,22.95,86.95,0,5.5,default
63881,24.15,86.35,0,5.5,default
62544,22.45,85.95,0,5.5,default
68833,24.35,87.85,0,5.5,default
49634,18.45,82.05,0,5.5,default
66847,23.75,87.25,0,5.5,default
53621,21.15,83.25,0,5.5,default
61920,26.05,85.75,0,5.5,default
67520,25.05,87.45,0,5.5,default
62239,24.95,85.85,0,5.5,default
57597,22.75,84.45,0,5.5,default
56602,22.25,84.15,0,5.5,default
64886,25.65,86.65,0,5.5,default
58297,26.75,84.65,0,5.5,default
53945,20.55,83.35,0,5.5,default
57293,25.35,84.35,0,5.5,default
58230,20.05,84.65,0,5.5,default
70141,23.15,88.25,0,5.5,default
64536,23.65,86.55,0,5.5,default
64871,24.15,86.65,0,5.5,default
70173,26.35,88.25,0,5.5,default
69490,24.05,88.05,0,5.5,default
65505,21.55,86.85,0,5.5,default
61247,24.75,85.55,0,5.5,default
66535,25.55,87.15,0,5.5,default
52604,18.45,82.95,0,5.5,default
51306,20.65,82.55,0,5.5,default
58918,22.85,84.85,0,5.5,default
59240,22.05,84.95,0,5.5,default
63542,23.25,86.25,0,5.5,default
48971,18.15,81.85,0,5.5,default
56632,25.25,84.15,0,5.5,default
63230,25.05,86.15,0,5.5,default
67525,25.55,87.45,0,5.5,default
65213,25.35,86.75,0,5.5,default
62535,21.55,85.95,0,5.5,default
50631,19.15,82.35,0,5.5,default
57287,24.75,84.35,0,5.5,default
58568,20.85,84.75,0,5.5,default
60572,23.25,85.35,0,5.5,default
68831,24.15,87.85,0,5.5,default
68169,23.95,87.65,0,5.5,default
59945,26.55,85.15,0,5.5,default
66519,23.95,87.15,0,5.5,default
64533,23.35,86.55,0,5.5,default
57566,19.65,84.45,0,5.5,default
58922,23.25,84.85,0,5.5,default
62200,21.05,85.85,0,5.5,default
57630,26.05,84.45,0,5.5,default
69470,22.05,88.05,0,5.5,default
63524,21.45,86.25,0,5.5,default
58559,19.95,84.75,0,5.5,default
69160,24.05,87.95,0,5.5,default
62890,24.05,86.05,0,5.5,default
66200,25.05,87.05,0,5.5,default
58227,19.75,84.65,0,5.5,default
51956,19.65,82.75,0,5.5,default
71127,22.75,88.55,0,5.5,default
60928,25.85,85.45,0,5.5,default
62849,19.95,86.05,0,5.5,default
64195,22.55,86.45,0,5.5,default
65827,20.75,86.95,0,5.5,default
61259,25.95,85.55,0,5.5,default
72486,26.65,88.95,0,5.5,default
63244,26.45,86.15,0,5.5,default
60924,25.45,85.45,0,5.5,default
74795,26.55,89.65,0,5.5,default
63901,26.15,86.35,0,5.5,default
59888,20.85,85.15,0,5.5,default
68187,25.75,87.65,0,5.5,default
68514,25.45,87.75,0,5.5,default
65855,23.55,86.95,0,5.5,default
65837,21.75,86.95,0,5.5,default
64234,26.45,86.45,0,5.5,default
65847,22.75,86.95,0,5.5,default
68499,23.95,87.75,0,5.5,default
57312,27.25,84.35,0,5.5,default
65511,22.15,86.85,0,5.5,default
70460,22.05,88.35,0,5.5,default
59222,20.25,84.95,0,5.5,default
69478,22.85,88.05,0,5.5,default
67842,24.25,87.55,0,5.5,default
54273,20.35,83.45,0,5.5,default
59562,21.25,85.05,0,5.5,default
61876,21.65,85.75,0,5.5,default
69181,26.15,87.95,0,5.5,default
63520,21.05,86.25,0,5.5,default
57897,19.75,84.55,0,5.5,default
51298,19.85,82.55,0,5.5,default
61548,21.85,85.65,0,5.5,default
63893,25.35,86.35,0,5.5,default
71165,26.55,88.55,0,5.5,default
63860,22.05,86.35,0,5.5,default
52628,20.85,82.95,0,5.5,default
58885,19.55,84.85,0,5.5,default
55313,25.35,83.75,0,5.5,default
64534,23.45,86.55,0,5.5,default
54596,19.65,83.55,0,5.5,default
56297,24.75,84.05,0,5.5,default
58235,20.55,84.65,0,5.5,default
58585,22.55,84.75,0,5.5,default
57932,23.25,84.55,0,5.5,default
59912,23.25,85.15,0,5.5,default
56899,18.95,84.25,0,5.5,default
62255,26.55,85.85,0,5.5,default
59935,25.55,85.15,0,5.5,default
58243,21.35,84.65,0,5.5,default
68180,25.05,87.65,0,5.5,default
68167,23.75,87.65,0,5.5,default
68152,22.25,87.65,0,5.5,default
61883,22.35,85.75,0,5.5,default
54613,21.35,83.55,0,5.5,default
67816,21.65,87.55,0,5.5,default
55965,24.55,83.95,0,5.5,default
68837,24.75,87.85,0,5.5,default
61898,23.85,85.75,0,5.5,default
58618,25.85,84.75,0,5.5,default
63885,24.55,86.35,0,5.5,default
58628,26.85,84.75,0,5.5,default
64869,23.95,86.65,0,5.5,default
63904,26.45,86.35,0,5.5,default
61896,23.65,85.75,0,5.5,default
68185,25.55,87.65,0,5.5,default
65203,24.35,86.75,0,5.5,default
66517,23.75,87.15,0,5.5,default
61882,22.25,85.75,0,5.5,default
61580,25.05,85.65,0,5.5,default
53598,18.85,83.25,0,5.5,default
59273,25.35,84.95,0,5.5,default
68176,24.65,87.65,0,5.5,default
61862,20.25,85.75,0,5.5,default
63546,23.65,86.25,0,5.5,default
54982,25.25,83.65,0,5.5,default
65519,22.95,86.85,0,5.5,default
69165,24.55,87.95,0,5.5,default
58552,19.25,84.75,0,5.5,default
55927,20.75,83.95,0,5.5,default
66529,24.95,87.15,0,5.5,default
58221,19.15,84.65,0,5.5,default
56645,26.55,84.15,0,5.5,default
66178,22.85,87.05,0,5.5,default
62199,20.95,85.85,0,5.5,default
54281,21.15,83.45,0,5.5,default
54642,24.25,83.55,0,5.5,default
65181,22.15,86.75,0,5.5,default
58621,26.15,84.75,0,5.5,default
56960,25.05,84.25,0,5.5,default
51286,18.65,82.55,0,5.5,default
67837,23.75,87.55,0,5.5,default
63902,26.25,86.35,0,5.5,default
72121,23.15,88.85,0,5.5,default
59285,26.55,84.95,0,5.5,default
50958,18.85,82.45,0,5.5,default
58252,22.25,84.65,0,5.5,default
61236,23.65,85.55,0,5.5,default
71788,22.85,88.75,0,5.5,default
62522,20.25,85.95,0,5.5,default
59547,19.75,85.05,0,5.5,default
70126,21.65,88.25,0,5.5,default
50308,19.85,82.25,0,5.5,default
57289,24.95,84.35,0,5.5,default
73476,26.65,89.25,0,5.5,default
65872,25.25,86.95,0,5.5,default
60912,24.25,85.45,0,5.5,default
63896,25.65,86.35,0,5.5,default
65527,23.75,86.85,0,5.5,default
65530,24.05,86.85,0,5.5,default
64847,21.75,86.65,0,5.5,default
61904,24.45,85.75,0,5.5,default
58554,19.45,84.75,0,5.5,default
58591,23.15,84.75,0,5.5,default
61262,26.25,85.55,0,5.5,default
59597,24.75,85.05,0,5.5,default
56937,22.75,84.25,0,5.5,default
58905,21.55,84.85,0,5.5,default
71791,23.15,88.75,0,5.5,default
53990,25.05,83.35,0,5.5,default
68818,22.85,87.85,0,5.5,default
66212,26.25,87.05,0,5.5,default
56951,24.15,84.25,0,5.5,default
58281,25.15,84.65,0,5.5,default
57594,22.45,84.45,0,5.5,default
50302,19.25,82.25,0,5.5,default
62559,23.95,85.95,0,5.5,default
64544,24.45,86.55,0,5.5,default
66175,22.55,87.05,0,5.5,default
67202,26.25,87.35,0,5.5,default
60232,22.25,85.25,0,5.5,default
73144,26.45,89.15,0,5.5,default
73471,26.15,89.25,0,5.5,default
57632,26.25,84.45,0,5.5,default
64173,20.35,86.45,0,5.5,default
56311,26.15,84.05,0,5.5,default
64849,21.95,86.65,0,5.5,default
71121,22.15,88.55,0,5.5,default
72485,26.55,88.95,0,5.5,default
73472,26.25,89.25,0,5.5,default
65199,23.95,86.75,0,5.5,default
59249,22.95,84.95,0,5.5,default
57596,22.65,84.45,0,5.5,default
61869,20.95,85.75,0,5.5,default
62521,20.15,85.95,0,5.5,default
59600,25.05,85.05,0,5.5,default
51962,20.25,82.75,0,5.5,default
66857,24.75,87.25,0,5.5,default
67832,23.25,87.55,0,5.5,default
69159,23.95,87.95,0,5.5,default
69830,25.05,88.15,0,5.5,default
61596,26.65,85.65,0,5.5,default
50977,20.75,82.45,0,5.5,default
63889,24.95,86.35,0,5.5,default
60902,23.25,85.45,0,5.5,default
68518,25.85,87.75,0,5.5,default
