,gid,latitude,longitude,elevation,offshore,wrf_region,config
3745,724338,25.352463,90.09561,154,0,1,default
1215,707402,23.605202,92.87215,557,0,1,default
3075,721812,25.08525,92.87215,586,0,1,default
557,702911,23.144272,91.77925,165,0,1,default
3485,723599,25.272362,91.48388,458,0,1,default
2041,711562,24.037537,91.92694,82,0,1,default
3795,724388,25.352463,91.57249499999999,1674,0,1,default
3563,723839,25.299065,90.83405,613,0,1,default
465,702121,23.062767,91.63157,36,0,1,default
1901,710792,23.956581,92.39954,152,0,1,default
2513,714728,24.360832000000002,92.57677,53,0,1,default
2239,712627,24.145393,92.42908,101,0,1,default
2207,712373,24.118439000000002,92.66538,128,0,1,default
1729,709999,23.87558,92.19278,148,0,1,default
392,701333,22.981216,91.57249499999999,24,0,1,default
1589,709446,23.82154,91.33619,47,0,1,default
2604,715766,24.468422,92.28139499999999,55,0,1,default
1654,709718,23.848564,91.63157,52,0,1,default
984,706086,23.469795,92.694916,430,0,1,default
3950,724860,25.405846,90.03654,99,0,1,default
2139,712085,24.091476,91.89741,164,0,1,default
4143,725212,25.43251,92.694916,778,0,1,default
1023,706343,23.496887,92.54723,479,0,1,default
3067,721804,25.08525,92.63584,515,0,1,default
1482,708927,23.767494,91.48388,76,0,1,default
777,704743,23.334259,91.72018,120,0,1,default
3172,722776,25.1922,90.39099,86,0,1,default
1980,711290,24.01056,91.63157,46,0,1,default
3401,723350,25.245651000000002,91.86787,917,0,1,default
1882,710773,23.956581,91.83833,67,0,1,default
2659,716297,24.522179,92.48816,53,0,1,default
2941,719710,24.87104,92.694916,22,0,1,default
189,697441,22.5727,92.63584,102,0,1,default
1371,708403,23.713417,91.48388,66,0,1,default
621,703457,23.198586,92.42908,75,0,1,default
2280,712892,24.17234,92.51769,60,0,1,default
1970,711069,23.983574,92.842606,206,0,1,default
2157,712103,24.091476,92.42908,122,0,1,default
1900,710791,23.956581,92.37,697,0,1,default
2875,718921,24.790627,92.60631,20,0,1,default
435,701856,23.035591,91.54295,18,0,1,default
4350,725737,25.485854999999997,92.72446,715,0,1,default
2823,718143,24.710151999999997,92.842606,23,0,1,default
3430,723379,25.245651000000002,92.72446,1209,0,1,default
187,697439,22.5727,92.57677,256,0,1,default
1490,708935,23.767494,91.72018,135,0,1,default
2083,711815,24.064507,91.6611,45,0,1,default
2990,720502,24.951424,92.87215,80,0,1,default
1182,707357,23.605202,91.54295,75,0,1,default
1328,708150,23.68637,91.74972,174,0,1,default
1228,707619,23.632263000000002,91.54295,72,0,1,default
237,698489,22.681755,92.63584,182,0,1,default
2468,714452,24.333923000000002,92.163246,32,0,1,default
1669,709733,23.848564,92.07463,141,0,1,default
1097,706839,23.551056,91.72018,76,0,1,default
