,gid,latitude,longitude,elevation,offshore,wrf_region,config
48669,544742,17.017006,77.630775,517,0,1,default
40872,523242,16.111038,80.08239,54,0,1,default
16614,443423,12.563095,80.08239,20,0,1,default
10564,418516,11.465271000000001,76.71511,1812,0,1,default
50775,551219,17.271027,79.10765,333,0,1,default
23658,467829,13.65625,79.9347,12,0,1,default
57171,574044,18.115226999999997,77.01049,576,0,1,default
21383,460185,13.311569,79.25534,310,0,1,default
18244,449750,12.851227,74.85425,26,0,1,default
48193,543315,16.960503,76.89233399999999,401,0,1,default
11184,421164,11.581039,78.31014,530,0,1,default
61025,595159,18.815642999999998,79.166725,178,0,1,default
14455,435479,12.216904,76.921875,645,0,1,default
32863,498672,15.029823,75.35638399999999,624,0,1,default
33189,499441,15.058342000000001,79.25534,275,0,1,default
33073,499325,15.058342000000001,75.82899,520,0,1,default
42050,527004,16.281226999999998,74.41119,694,0,1,default
20249,456351,13.139045999999999,79.28488,258,0,1,default
34742,504499,15.286407,78.90089,251,0,1,default
51386,553313,17.355629,76.44927,470,0,1,default
16508,443317,12.563095,76.95141600000001,684,0,1,default
23550,467721,13.65625,76.74465,675,0,1,default
21852,461990,13.397781,76.212975,771,0,1,default
36019,508844,15.485764000000001,75.799446,627,0,1,default
5657,394334,10.39222,78.31014,573,0,1,default
22148,462730,13.426514000000001,79.314415,303,0,1,default
48039,542696,16.932251,79.166725,218,0,1,default
29882,489045,14.601485999999998,75.799446,537,0,1,default
57629,575764,18.171364,79.81655,238,0,1,default
55012,564776,17.778029999999998,83.24290500000001,68,0,1,default
27857,482050,14.28685,79.875626,16,0,1,default
32994,498803,15.029823,79.2258,330,0,1,default
24005,469079,13.713645999999999,79.04858,515,0,1,default
23143,466409,13.598839000000002,75.62222,703,0,1,default
34730,504487,15.286407,78.54644,192,0,1,default
43509,530559,16.42295,81.38204,4,0,1,default
12097,425624,11.783524,75.56315,21,0,1,default
9112,411435,11.1466675,78.90089,105,0,1,default
6543,398931,10.595528,77.748924,282,0,1,default
42773,529001,16.366272,74.70656,640,0,1,default
62576,612511,19.373886,78.457825,427,0,1,default
15400,439342,12.390053,75.208694,105,0,1,default
49404,546921,17.101715,79.37349,219,0,1,default
47110,539988,16.819191,80.73221600000001,107,0,1,default
55276,566144,17.834267,77.95569,551,0,1,default
48307,543429,16.960503,80.25961,84,0,1,default
15381,438839,12.361206,79.63933,66,0,1,default
5498,393644,10.363167,77.39448,521,0,1,default
19380,453656,13.023956,75.6813,955,0,1,default
1517,365961,9.140541,77.3354,319,0,1,default
59300,584078,18.45179,79.314415,236,0,1,default
7332,402873,10.769684,77.60124,227,0,1,default
37689,514018,15.713356,77.01049,371,0,1,default
54628,563847,17.749893,78.54644,591,0,1,default
26591,478038,14.115044000000001,76.50835,685,0,1,default
26651,478098,14.115044000000001,78.2806,556,0,1,default
41105,523905,16.139412,80.25961,22,0,1,default
11268,421756,11.60997,76.6265,742,0,1,default
46802,539247,16.790909,79.04858,265,0,1,default
31475,494194,14.830039999999999,75.504074,553,0,1,default
43873,531737,16.479599,76.71511,379,0,1,default
43402,530452,16.42295,78.22153,491,0,1,default
914,359369,8.848801,76.95141600000001,89,0,1,default
50128,549101,17.186394,80.49592,105,0,1,default
17148,445378,12.649567,80.08239,32,0,1,default
5376,392989,10.334106,77.51263,653,0,1,default
21562,460811,13.340309,78.93043,442,0,1,default
57736,576510,18.199432,77.748924,474,0,1,default
53688,560769,17.637337,77.68985,631,0,1,default
45177,535087,16.621170000000003,76.3902,534,0,1,default
56382,570200,17.974808,82.06141,492,0,1,default
48255,543377,16.960503,78.72366,504,0,1,default
14821,436820,12.274628,77.95569,590,0,1,default
54422,563099,17.721764,79.13719,387,0,1,default
27635,481372,14.258224499999999,79.01904,210,0,1,default
51215,552640,17.327438,78.13291,638,0,1,default
21535,460784,13.340309,78.13291,830,0,1,default
