,gid,latitude,longitude,elevation,offshore,wrf_region,config
40603,716632,24.575912,86.90556,219,0,1,default
20830,594423,18.787682,82.79984,901,0,1,default
8079,59961,23.866226,85.11019,438,0,0,default
35629,695962,22.436256,87.64399999999999,11,0,1,default
16142,113359,25.79618,86.46892,43,0,0,default
13556,94780,25.12947,84.87389,74,0,0,default
36998,700969,22.954017999999998,88.55966,16,0,1,default
3899,27397,22.672318,86.29169499999999,504,0,0,default
38427,706705,23.551056,87.76215,36,0,1,default
9954,71833,24.297691,85.58279399999999,399,0,0,default
28499,654075,20.650543,83.24290500000001,246,0,1,default
21861,607415,19.206612,83.09522,1019,0,1,default
27517,647743,20.45694,85.39915,75,0,1,default
25177,633167,20.013512,83.62689,455,0,1,default
22597,614402,19.429610999999998,82.32725,583,0,1,default
28165,652214,20.595253,82.41585500000001,670,0,1,default
6093,45198,23.324875,86.79383,156,0,0,default
10770,77017,24.486,85.49418,365,0,0,default
5314,39253,23.107704000000002,86.29169499999999,244,0,0,default
32669,681972,21.477448000000003,83.50874,193,0,1,default
16404,116266,25.902511999999998,84.78528,57,0,0,default
23130,618825,19.568832,82.41585500000001,615,0,1,default
12185,85946,24.808151000000002,86.58707,174,0,0,default
6054,45159,23.324875,85.64187,409,0,0,default
22043,609161,19.26239,83.06568,994,0,1,default
6024,45129,23.324875,84.75574499999999,681,0,0,default
25234,633224,20.013512,85.31053,64,0,1,default
39758,712467,24.145393,87.70308,45,0,1,default
10180,73307,24.351523999999998,85.3465,390,0,0,default
37865,704358,23.307137,88.08707,19,0,1,default
22084,609202,19.26239,84.27672,607,0,1,default
7718,57705,23.785164,84.13545,332,0,0,default
38415,706693,23.551056,87.4077,61,0,1,default
1459,9619,22.016655,86.46892,326,0,0,default
20143,578279,18.255539000000002,81.559265,180,0,1,default
19470,147377,27.01313,84.460365,82,0,0,default
26790,643194,20.318504,85.63544499999999,139,0,1,default
1714,11761,22.098770000000002,84.07638,344,0,0,default
10939,78438,24.53975,83.69239,192,0,0,default
19950,572584,18.059074,81.588806,94,0,1,default
7270,54084,23.649948000000002,86.61661,146,0,0,default
7057,52597,23.595825,86.46892,172,0,0,default
37921,704613,23.334259,87.8803,32,0,1,default
3567,25119,22.590529999999998,84.66713,537,0,0,default
11524,82161,24.674019,84.22407,128,0,0,default
19476,147383,27.01313,84.63759,80,0,0,default
28214,652263,20.595253,83.8632,421,0,1,default
27075,645005,20.373894,85.34007,47,0,1,default
32309,679147,21.394966,83.83366,162,0,1,default
3947,28097,22.69957,85.08066,395,0,0,default
15553,108171,25.609879,86.43938399999999,40,0,0,default
20026,574219,18.115226999999997,82.17956,456,0,1,default
20283,581661,18.367706,82.711235,1010,0,1,default
23497,621519,19.652298000000002,83.30198,617,0,1,default
38383,706461,23.523972,88.29382,14,0,1,default
4769,34813,22.944595,86.46892,205,0,0,default
29375,658756,20.788673,85.90128,85,0,1,default
34859,693087,22.135612,87.85076,8,0,1,default
2930,19972,22.399498,85.84863,260,0,0,default
7868,58489,23.812186999999998,85.40556,514,0,0,default
3780,26627,22.645058,85.43510400000001,433,0,0,default
9364,68127,24.16301,85.55325,401,0,0,default
37218,701965,23.062767,87.02371,87,0,1,default
2041,13979,22.180854999999998,83.92869,293,0,0,default
1064,7340,21.934479,84.81482,286,0,0,default
36347,698593,22.709,87.96891,10,0,1,default
39901,713009,24.199286999999998,88.23475,21,0,1,default
31593,673520,21.229858,84.247185,321,0,1,default
24645,629585,19.902458,84.06996,886,0,1,default
18582,133352,26.512040000000002,86.05539,65,0,0,default
6677,49644,23.48751,86.79383,152,0,0,default
28830,655928,20.70581,83.77458,146,0,1,default
9617,69626,24.216904,86.05539,283,0,0,default
4811,35509,22.971794,85.13973,539,0,0,default
7,631,21.687668,83.63331600000001,247,0,0,default
8799,64447,24.028198,86.29169499999999,249,0,0,default
