,gid,latitude,longitude,elevation,timezone,config
921,85971,22.15,93.05,0,6.5,default
985,86304,22.45,93.15,0,6.5,default
986,86309,22.95,93.15,0,6.5,default
1631,90615,24.55,94.45,0,6.5,default
