,gid,latitude,longitude,elevation,timezone,config
132,78092,26.25,90.65,0,5.5,default
133,78093,26.35,90.65,0,5.5,default
134,78094,26.45,90.65,0,5.5,default
135,78095,26.55,90.65,0,5.5,default
136,78096,26.65,90.65,0,5.5,default
137,78097,26.75,90.65,0,5.5,default
138,78412,25.25,90.75,0,5.5,default
139,78413,25.35,90.75,0,5.5,default
140,78414,25.45,90.75,0,5.5,default
141,78415,25.55,90.75,0,5.5,default
142,78416,25.65,90.75,0,5.5,default
143,78417,25.75,90.75,0,5.5,default
144,78418,25.85,90.75,0,5.5,default
145,78419,25.95,90.75,0,5.5,default
146,78420,26.05,90.75,0,5.5,default
147,78421,26.15,90.75,0,5.5,default
148,78422,26.25,90.75,0,5.5,default
149,78423,26.35,90.75,0,5.5,default
150,78424,26.45,90.75,0,5.5,default
151,78425,26.55,90.75,0,5.5,default
152,78426,26.65,90.75,0,5.5,default
153,78427,26.75,90.75,0,5.5,default
154,78742,25.25,90.85,0,5.5,default
155,78743,25.35,90.85,0,5.5,default
156,78744,25.45,90.85,0,5.5,default
157,78745,25.55,90.85,0,5.5,default
158,78746,25.65,90.85,0,5.5,default
159,78747,25.75,90.85,0,5.5,default
160,78748,25.85,90.85,0,5.5,default
161,78749,25.95,90.85,0,5.5,default
162,78750,26.05,90.85,0,5.5,default
163,78751,26.15,90.85,0,5.5,default
164,78752,26.25,90.85,0,5.5,default
165,78753,26.35,90.85,0,5.5,default
166,78754,26.45,90.85,0,5.5,default
167,78755,26.55,90.85,0,5.5,default
168,78756,26.65,90.85,0,5.5,default
169,78757,26.75,90.85,0,5.5,default
170,79072,25.25,90.95,0,5.5,default
171,79073,25.35,90.95,0,5.5,default
172,79074,25.45,90.95,0,5.5,default
173,79075,25.55,90.95,0,5.5,default
174,79076,25.65,90.95,0,5.5,default
175,79077,25.75,90.95,0,5.5,default
176,79078,25.85,90.95,0,5.5,default
177,79079,25.95,90.95,0,5.5,default
178,79080,26.05,90.95,0,5.5,default
179,79081,26.15,90.95,0,5.5,default
180,79082,26.25,90.95,0,5.5,default
181,79083,26.35,90.95,0,5.5,default
182,79084,26.45,90.95,0,5.5,default
183,79085,26.55,90.95,0,5.5,default
184,79086,26.65,90.95,0,5.5,default
185,79087,26.75,90.95,0,5.5,default
186,79402,25.25,91.05,0,5.5,default
187,79403,25.35,91.05,0,5.5,default
188,79404,25.45,91.05,0,5.5,default
189,79405,25.55,91.05,0,5.5,default
190,79406,25.65,91.05,0,5.5,default
191,79407,25.75,91.05,0,5.5,default
192,79408,25.85,91.05,0,5.5,default
193,79409,25.95,91.05,0,5.5,default
194,79410,26.05,91.05,0,5.5,default
195,79411,26.15,91.05,0,5.5,default
196,79412,26.25,91.05,0,5.5,default
197,79413,26.35,91.05,0,5.5,default
198,79414,26.45,91.05,0,5.5,default
199,79415,26.55,91.05,0,5.5,default
200,79416,26.65,91.05,0,5.5,default
201,79417,26.75,91.05,0,5.5,default
202,79732,25.25,91.15,0,5.5,default
203,79733,25.35,91.15,0,5.5,default
204,79734,25.45,91.15,0,5.5,default
205,79735,25.55,91.15,0,5.5,default
206,79736,25.65,91.15,0,5.5,default
207,79737,25.75,91.15,0,5.5,default
208,79738,25.85,91.15,0,5.5,default
209,79739,25.95,91.15,0,5.5,default
210,79740,26.05,91.15,0,5.5,default
211,79741,26.15,91.15,0,5.5,default
212,79742,26.25,91.15,0,5.5,default
213,79743,26.35,91.15,0,5.5,default
214,79744,26.45,91.15,0,5.5,default
215,79745,26.55,91.15,0,5.5,default
216,79746,26.65,91.15,0,5.5,default
