,gid,latitude,longitude,elevation,timezone,config
132,8092,22.25,69.45,0,5.5,default
133,8098,22.85,69.45,0,5.5,default
134,8099,22.95,69.45,0,5.5,default
135,8100,23.05,69.45,0,5.5,default
136,8101,23.15,69.45,0,5.5,default
137,8102,23.25,69.45,0,5.5,default
138,8103,23.35,69.45,0,5.5,default
139,8104,23.45,69.45,0,5.5,default
140,8105,23.55,69.45,0,5.5,default
141,8106,23.65,69.45,0,5.5,default
142,8107,23.75,69.45,0,5.5,default
143,8108,23.85,69.45,0,5.5,default
144,8109,23.95,69.45,0,5.5,default
145,8110,24.05,69.45,0,5.5,default
146,8111,24.15,69.45,0,5.5,default
147,8112,24.25,69.45,0,5.5,default
148,8417,21.75,69.55,0,5.5,default
149,8418,21.85,69.55,0,5.5,default
150,8419,21.95,69.55,0,5.5,default
151,8420,22.05,69.55,0,5.5,default
152,8421,22.15,69.55,0,5.5,default
153,8422,22.25,69.55,0,5.5,default
154,8423,22.35,69.55,0,5.5,default
155,8428,22.85,69.55,0,5.5,default
156,8429,22.95,69.55,0,5.5,default
157,8430,23.05,69.55,0,5.5,default
158,8431,23.15,69.55,0,5.5,default
159,8432,23.25,69.55,0,5.5,default
160,8433,23.35,69.55,0,5.5,default
161,8434,23.45,69.55,0,5.5,default
162,8435,23.55,69.55,0,5.5,default
163,8436,23.65,69.55,0,5.5,default
164,8437,23.75,69.55,0,5.5,default
165,8438,23.85,69.55,0,5.5,default
166,8439,23.95,69.55,0,5.5,default
167,8440,24.05,69.55,0,5.5,default
168,8441,24.15,69.55,0,5.5,default
169,8442,24.25,69.55,0,5.5,default
170,8746,21.65,69.65,0,5.5,default
171,8747,21.75,69.65,0,5.5,default
172,8748,21.85,69.65,0,5.5,default
173,8749,21.95,69.65,0,5.5,default
174,8750,22.05,69.65,0,5.5,default
175,8751,22.15,69.65,0,5.5,default
176,8752,22.25,69.65,0,5.5,default
177,8753,22.35,69.65,0,5.5,default
178,8758,22.85,69.65,0,5.5,default
179,8759,22.95,69.65,0,5.5,default
180,8760,23.05,69.65,0,5.5,default
181,8761,23.15,69.65,0,5.5,default
182,8762,23.25,69.65,0,5.5,default
183,8763,23.35,69.65,0,5.5,default
184,8764,23.45,69.65,0,5.5,default
185,8765,23.55,69.65,0,5.5,default
186,8766,23.65,69.65,0,5.5,default
187,8767,23.75,69.65,0,5.5,default
188,8768,23.85,69.65,0,5.5,default
189,8769,23.95,69.65,0,5.5,default
190,8770,24.05,69.65,0,5.5,default
191,8771,24.15,69.65,0,5.5,default
192,9075,21.55,69.75,0,5.5,default
193,9076,21.65,69.75,0,5.5,default
194,9077,21.75,69.75,0,5.5,default
195,9078,21.85,69.75,0,5.5,default
196,9079,21.95,69.75,0,5.5,default
197,9080,22.05,69.75,0,5.5,default
198,9081,22.15,69.75,0,5.5,default
199,9082,22.25,69.75,0,5.5,default
200,9083,22.35,69.75,0,5.5,default
201,9088,22.85,69.75,0,5.5,default
202,9089,22.95,69.75,0,5.5,default
203,9090,23.05,69.75,0,5.5,default
204,9091,23.15,69.75,0,5.5,default
205,9092,23.25,69.75,0,5.5,default
206,9093,23.35,69.75,0,5.5,default
207,9094,23.45,69.75,0,5.5,default
208,9095,23.55,69.75,0,5.5,default
209,9096,23.65,69.75,0,5.5,default
210,9097,23.75,69.75,0,5.5,default
211,9098,23.85,69.75,0,5.5,default
212,9099,23.95,69.75,0,5.5,default
213,9100,24.05,69.75,0,5.5,default
214,9101,24.15,69.75,0,5.5,default
215,9404,21.45,69.85,0,5.5,default
216,9405,21.55,69.85,0,5.5,default
217,9406,21.65,69.85,0,5.5,default
218,9407,21.75,69.85,0,5.5,default
219,9408,21.85,69.85,0,5.5,default
220,9409,21.95,69.85,0,5.5,default
221,9410,22.05,69.85,0,5.5,default
222,9411,22.15,69.85,0,5.5,default
223,9412,22.25,69.85,0,5.5,default
224,9413,22.35,69.85,0,5.5,default
225,9414,22.45,69.85,0,5.5,default
226,9419,22.95,69.85,0,5.5,default
227,9420,23.05,69.85,0,5.5,default
228,9421,23.15,69.85,0,5.5,default
229,9422,23.25,69.85,0,5.5,default
230,9423,23.35,69.85,0,5.5,default
231,9424,23.45,69.85,0,5.5,default
232,9425,23.55,69.85,0,5.5,default
233,9426,23.65,69.85,0,5.5,default
234,9427,23.75,69.85,0,5.5,default
235,9428,23.85,69.85,0,5.5,default
236,9429,23.95,69.85,0,5.5,default
237,9430,24.05,69.85,0,5.5,default
238,9431,24.15,69.85,0,5.5,default
239,9733,21.35,69.95,0,5.5,default
240,9734,21.45,69.95,0,5.5,default
241,9735,21.55,69.95,0,5.5,default
242,9736,21.65,69.95,0,5.5,default
243,9737,21.75,69.95,0,5.5,default
244,9738,21.85,69.95,0,5.5,default
245,9739,21.95,69.95,0,5.5,default
246,9740,22.05,69.95,0,5.5,default
247,9741,22.15,69.95,0,5.5,default
248,9742,22.25,69.95,0,5.5,default
249,9743,22.35,69.95,0,5.5,default
250,9744,22.45,69.95,0,5.5,default
251,9745,22.55,69.95,0,5.5,default
252,9749,22.95,69.95,0,5.5,default
253,9750,23.05,69.95,0,5.5,default
254,9751,23.15,69.95,0,5.5,default
255,9752,23.25,69.95,0,5.5,default
256,9753,23.35,69.95,0,5.5,default
257,9754,23.45,69.95,0,5.5,default
258,9755,23.55,69.95,0,5.5,default
259,9756,23.65,69.95,0,5.5,default
260,9757,23.75,69.95,0,5.5,default
261,9758,23.85,69.95,0,5.5,default
262,9759,23.95,69.95,0,5.5,default
263,9760,24.05,69.95,0,5.5,default
264,9761,24.15,69.95,0,5.5,default
265,10062,21.25,70.05,0,5.5,default
266,10063,21.35,70.05,0,5.5,default
267,10064,21.45,70.05,0,5.5,default
268,10065,21.55,70.05,0,5.5,default
269,10066,21.65,70.05,0,5.5,default
270,10067,21.75,70.05,0,5.5,default
271,10068,21.85,70.05,0,5.5,default
272,10069,21.95,70.05,0,5.5,default
273,10070,22.05,70.05,0,5.5,default
274,10071,22.15,70.05,0,5.5,default
275,10072,22.25,70.05,0,5.5,default
276,10073,22.35,70.05,0,5.5,default
277,10074,22.45,70.05,0,5.5,default
278,10075,22.55,70.05,0,5.5,default
279,10079,22.95,70.05,0,5.5,default
280,10080,23.05,70.05,0,5.5,default
281,10081,23.15,70.05,0,5.5,default
282,10082,23.25,70.05,0,5.5,default
283,10083,23.35,70.05,0,5.5,default
284,10084,23.45,70.05,0,5.5,default
285,10085,23.55,70.05,0,5.5,default
286,10086,23.65,70.05,0,5.5,default
287,10087,23.75,70.05,0,5.5,default
288,10088,23.85,70.05,0,5.5,default
289,10089,23.95,70.05,0,5.5,default
290,10090,24.05,70.05,0,5.5,default
291,10091,24.15,70.05,0,5.5,default
292,10391,21.15,70.15,0,5.5,default
293,10392,21.25,70.15,0,5.5,default
294,10393,21.35,70.15,0,5.5,default
295,10394,21.45,70.15,0,5.5,default
296,10395,21.55,70.15,0,5.5,default
297,10396,21.65,70.15,0,5.5,default
298,10397,21.75,70.15,0,5.5,default
299,10398,21.85,70.15,0,5.5,default
300,10399,21.95,70.15,0,5.5,default
301,10400,22.05,70.15,0,5.5,default
302,10401,22.15,70.15,0,5.5,default
303,10402,22.25,70.15,0,5.5,default
304,10403,22.35,70.15,0,5.5,default
305,10404,22.45,70.15,0,5.5,default
306,10405,22.55,70.15,0,5.5,default
307,10409,22.95,70.15,0,5.5,default
308,10410,23.05,70.15,0,5.5,default
309,10411,23.15,70.15,0,5.5,default
310,10412,23.25,70.15,0,5.5,default
311,10413,23.35,70.15,0,5.5,default
312,10414,23.45,70.15,0,5.5,default
313,10415,23.55,70.15,0,5.5,default
314,10416,23.65,70.15,0,5.5,default
315,10417,23.75,70.15,0,5.5,default
316,10418,23.85,70.15,0,5.5,default
317,10419,23.95,70.15,0,5.5,default
318,10420,24.05,70.15,0,5.5,default
319,10421,24.15,70.15,0,5.5,default
320,10422,24.25,70.15,0,5.5,default
321,10720,21.05,70.25,0,5.5,default
322,10721,21.15,70.25,0,5.5,default
323,10722,21.25,70.25,0,5.5,default
324,10723,21.35,70.25,0,5.5,default
325,10724,21.45,70.25,0,5.5,default
326,10725,21.55,70.25,0,5.5,default
327,10726,21.65,70.25,0,5.5,default
328,10727,21.75,70.25,0,5.5,default
329,10728,21.85,70.25,0,5.5,default
330,10729,21.95,70.25,0,5.5,default
331,10730,22.05,70.25,0,5.5,default
332,10731,22.15,70.25,0,5.5,default
333,10732,22.25,70.25,0,5.5,default
334,10733,22.35,70.25,0,5.5,default
335,10734,22.45,70.25,0,5.5,default
336,10735,22.55,70.25,0,5.5,default
337,10736,22.65,70.25,0,5.5,default
338,10740,23.05,70.25,0,5.5,default
339,10741,23.15,70.25,0,5.5,default
340,10742,23.25,70.25,0,5.5,default
341,10743,23.35,70.25,0,5.5,default
