,gid,latitude,longitude,elevation,timezone,config
151,25835,14.55,74.85,0,5.5,default
152,25836,14.65,74.85,0,5.5,default
153,25837,14.75,74.85,0,5.5,default
154,25838,14.85,74.85,0,5.5,default
155,25839,14.95,74.85,0,5.5,default
156,25840,15.05,74.85,0,5.5,default
157,25841,15.15,74.85,0,5.5,default
158,25842,15.25,74.85,0,5.5,default
159,25843,15.35,74.85,0,5.5,default
160,25844,15.45,74.85,0,5.5,default
161,25845,15.55,74.85,0,5.5,default
162,25846,15.65,74.85,0,5.5,default
163,25847,15.75,74.85,0,5.5,default
164,25848,15.85,74.85,0,5.5,default
165,25849,15.95,74.85,0,5.5,default
166,25850,16.05,74.85,0,5.5,default
167,25851,16.15,74.85,0,5.5,default
168,25852,16.25,74.85,0,5.5,default
169,25853,16.35,74.85,0,5.5,default
170,25854,16.45,74.85,0,5.5,default
171,25855,16.55,74.85,0,5.5,default
172,25856,16.65,74.85,0,5.5,default
173,25857,16.75,74.85,0,5.5,default
174,26146,12.65,74.95,0,5.5,default
175,26147,12.75,74.95,0,5.5,default
176,26148,12.85,74.95,0,5.5,default
177,26149,12.95,74.95,0,5.5,default
178,26150,13.05,74.95,0,5.5,default
179,26151,13.15,74.95,0,5.5,default
180,26152,13.25,74.95,0,5.5,default
181,26153,13.35,74.95,0,5.5,default
182,26154,13.45,74.95,0,5.5,default
183,26155,13.55,74.95,0,5.5,default
184,26156,13.65,74.95,0,5.5,default
185,26157,13.75,74.95,0,5.5,default
186,26158,13.85,74.95,0,5.5,default
187,26159,13.95,74.95,0,5.5,default
188,26160,14.05,74.95,0,5.5,default
189,26161,14.15,74.95,0,5.5,default
190,26162,14.25,74.95,0,5.5,default
191,26163,14.35,74.95,0,5.5,default
192,26164,14.45,74.95,0,5.5,default
193,26165,14.55,74.95,0,5.5,default
194,26166,14.65,74.95,0,5.5,default
195,26167,14.75,74.95,0,5.5,default
196,26168,14.85,74.95,0,5.5,default
197,26169,14.95,74.95,0,5.5,default
198,26170,15.05,74.95,0,5.5,default
199,26171,15.15,74.95,0,5.5,default
200,26172,15.25,74.95,0,5.5,default
201,26173,15.35,74.95,0,5.5,default
202,26174,15.45,74.95,0,5.5,default
203,26175,15.55,74.95,0,5.5,default
204,26176,15.65,74.95,0,5.5,default
205,26177,15.75,74.95,0,5.5,default
206,26178,15.85,74.95,0,5.5,default
207,26179,15.95,74.95,0,5.5,default
208,26180,16.05,74.95,0,5.5,default
209,26181,16.15,74.95,0,5.5,default
210,26182,16.25,74.95,0,5.5,default
211,26183,16.35,74.95,0,5.5,default
212,26184,16.45,74.95,0,5.5,default
213,26185,16.55,74.95,0,5.5,default
214,26186,16.65,74.95,0,5.5,default
215,26187,16.75,74.95,0,5.5,default
216,26188,16.85,74.95,0,5.5,default
217,26474,12.45,75.05,0,5.5,default
218,26475,12.55,75.05,0,5.5,default
219,26476,12.65,75.05,0,5.5,default
220,26477,12.75,75.05,0,5.5,default
221,26478,12.85,75.05,0,5.5,default
222,26479,12.95,75.05,0,5.5,default
223,26480,13.05,75.05,0,5.5,default
224,26481,13.15,75.05,0,5.5,default
225,26482,13.25,75.05,0,5.5,default
226,26483,13.35,75.05,0,5.5,default
227,26484,13.45,75.05,0,5.5,default
228,26485,13.55,75.05,0,5.5,default
229,26486,13.65,75.05,0,5.5,default
230,26487,13.75,75.05,0,5.5,default
231,26488,13.85,75.05,0,5.5,default
232,26489,13.95,75.05,0,5.5,default
233,26490,14.05,75.05,0,5.5,default
234,26491,14.15,75.05,0,5.5,default
235,26492,14.25,75.05,0,5.5,default
236,26493,14.35,75.05,0,5.5,default
237,26494,14.45,75.05,0,5.5,default
238,26495,14.55,75.05,0,5.5,default
239,26496,14.65,75.05,0,5.5,default
240,26497,14.75,75.05,0,5.5,default
241,26498,14.85,75.05,0,5.5,default
242,26499,14.95,75.05,0,5.5,default
243,26500,15.05,75.05,0,5.5,default
244,26501,15.15,75.05,0,5.5,default
245,26502,15.25,75.05,0,5.5,default
246,26503,15.35,75.05,0,5.5,default
247,26504,15.45,75.05,0,5.5,default
248,26505,15.55,75.05,0,5.5,default
249,26506,15.65,75.05,0,5.5,default
250,26507,15.75,75.05,0,5.5,default
251,26508,15.85,75.05,0,5.5,default
252,26509,15.95,75.05,0,5.5,default
253,26510,16.05,75.05,0,5.5,default
254,26511,16.15,75.05,0,5.5,default
255,26512,16.25,75.05,0,5.5,default
256,26513,16.35,75.05,0,5.5,default
257,26514,16.45,75.05,0,5.5,default
258,26515,16.55,75.05,0,5.5,default
259,26516,16.65,75.05,0,5.5,default
260,26517,16.75,75.05,0,5.5,default
261,26518,16.85,75.05,0,5.5,default
262,26801,12.15,75.15,0,5.5,default
263,26802,12.25,75.15,0,5.5,default
264,26803,12.35,75.15,0,5.5,default
265,26804,12.45,75.15,0,5.5,default
266,26805,12.55,75.15,0,5.5,default
267,26806,12.65,75.15,0,5.5,default
268,26807,12.75,75.15,0,5.5,default
269,26808,12.85,75.15,0,5.5,default
270,26809,12.95,75.15,0,5.5,default
271,26810,13.05,75.15,0,5.5,default
272,26811,13.15,75.15,0,5.5,default
273,26812,13.25,75.15,0,5.5,default
274,26813,13.35,75.15,0,5.5,default
275,26814,13.45,75.15,0,5.5,default
276,26815,13.55,75.15,0,5.5,default
277,26816,13.65,75.15,0,5.5,default
278,26817,13.75,75.15,0,5.5,default
279,26818,13.85,75.15,0,5.5,default
280,26819,13.95,75.15,0,5.5,default
281,26820,14.05,75.15,0,5.5,default
282,26821,14.15,75.15,0,5.5,default
283,26822,14.25,75.15,0,5.5,default
284,26823,14.35,75.15,0,5.5,default
285,26824,14.45,75.15,0,5.5,default
286,26825,14.55,75.15,0,5.5,default
287,26826,14.65,75.15,0,5.5,default
288,26827,14.75,75.15,0,5.5,default
289,26828,14.85,75.15,0,5.5,default
290,26829,14.95,75.15,0,5.5,default
291,26830,15.05,75.15,0,5.5,default
292,26831,15.15,75.15,0,5.5,default
293,26832,15.25,75.15,0,5.5,default
294,26833,15.35,75.15,0,5.5,default
295,26834,15.45,75.15,0,5.5,default
296,26835,15.55,75.15,0,5.5,default
297,26836,15.65,75.15,0,5.5,default
298,26837,15.75,75.15,0,5.5,default
299,26838,15.85,75.15,0,5.5,default
300,26839,15.95,75.15,0,5.5,default
301,26840,16.05,75.15,0,5.5,default
302,26841,16.15,75.15,0,5.5,default
303,26842,16.25,75.15,0,5.5,default
304,26843,16.35,75.15,0,5.5,default
305,26844,16.45,75.15,0,5.5,default
306,26845,16.55,75.15,0,5.5,default
307,26846,16.65,75.15,0,5.5,default
308,26847,16.75,75.15,0,5.5,default
309,26848,16.85,75.15,0,5.5,default
310,27131,12.15,75.25,0,5.5,default
311,27132,12.25,75.25,0,5.5,default
312,27133,12.35,75.25,0,5.5,default
313,27134,12.45,75.25,0,5.5,default
314,27135,12.55,75.25,0,5.5,default
315,27136,12.65,75.25,0,5.5,default
316,27137,12.75,75.25,0,5.5,default
317,27138,12.85,75.25,0,5.5,default
318,27139,12.95,75.25,0,5.5,default
319,27140,13.05,75.25,0,5.5,default
320,27141,13.15,75.25,0,5.5,default
321,27142,13.25,75.25,0,5.5,default
322,27143,13.35,75.25,0,5.5,default
323,27144,13.45,75.25,0,5.5,default
324,27145,13.55,75.25,0,5.5,default
325,27146,13.65,75.25,0,5.5,default
326,27147,13.75,75.25,0,5.5,default
327,27148,13.85,75.25,0,5.5,default
328,27149,13.95,75.25,0,5.5,default
329,27150,14.05,75.25,0,5.5,default
330,27151,14.15,75.25,0,5.5,default
331,27152,14.25,75.25,0,5.5,default
332,27153,14.35,75.25,0,5.5,default
333,27154,14.45,75.25,0,5.5,default
334,27155,14.55,75.25,0,5.5,default
335,27156,14.65,75.25,0,5.5,default
336,27157,14.75,75.25,0,5.5,default
337,27158,14.85,75.25,0,5.5,default
338,27159,14.95,75.25,0,5.5,default
339,27160,15.05,75.25,0,5.5,default
340,27161,15.15,75.25,0,5.5,default
341,27162,15.25,75.25,0,5.5,default
342,27163,15.35,75.25,0,5.5,default
343,27164,15.45,75.25,0,5.5,default
344,27165,15.55,75.25,0,5.5,default
345,27166,15.65,75.25,0,5.5,default
346,27167,15.75,75.25,0,5.5,default
347,27168,15.85,75.25,0,5.5,default
348,27169,15.95,75.25,0,5.5,default
349,27170,16.05,75.25,0,5.5,default
350,27171,16.15,75.25,0,5.5,default
351,27172,16.25,75.25,0,5.5,default
352,27173,16.35,75.25,0,5.5,default
353,27174,16.45,75.25,0,5.5,default
354,27175,16.55,75.25,0,5.5,default
355,27176,16.65,75.25,0,5.5,default
356,27177,16.75,75.25,0,5.5,default
357,27178,16.85,75.25,0,5.5,default
358,27459,11.95,75.35,0,5.5,default
359,27460,12.05,75.35,0,5.5,default
360,27461,12.15,75.35,0,5.5,default
361,27462,12.25,75.35,0,5.5,default
362,27463,12.35,75.35,0,5.5,default
363,27464,12.45,75.35,0,5.5,default
364,27465,12.55,75.35,0,5.5,default
365,27466,12.65,75.35,0,5.5,default
366,27467,12.75,75.35,0,5.5,default
367,27468,12.85,75.35,0,5.5,default
368,27469,12.95,75.35,0,5.5,default
369,27470,13.05,75.35,0,5.5,default
370,27471,13.15,75.35,0,5.5,default
371,27472,13.25,75.35,0,5.5,default
372,27473,13.35,75.35,0,5.5,default
373,27474,13.45,75.35,0,5.5,default
374,27475,13.55,75.35,0,5.5,default
375,27476,13.65,75.35,0,5.5,default
376,27477,13.75,75.35,0,5.5,default
377,27478,13.85,75.35,0,5.5,default
378,27479,13.95,75.35,0,5.5,default
379,27480,14.05,75.35,0,5.5,default
380,27481,14.15,75.35,0,5.5,default
381,27482,14.25,75.35,0,5.5,default
382,27483,14.35,75.35,0,5.5,default
383,27484,14.45,75.35,0,5.5,default
384,27485,14.55,75.35,0,5.5,default
385,27486,14.65,75.35,0,5.5,default
386,27487,14.75,75.35,0,5.5,default
387,27488,14.85,75.35,0,5.5,default
388,27489,14.95,75.35,0,5.5,default
389,27490,15.05,75.35,0,5.5,default
390,27491,15.15,75.35,0,5.5,default
391,27492,15.25,75.35,0,5.5,default
392,27493,15.35,75.35,0,5.5,default
393,27494,15.45,75.35,0,5.5,default
394,27495,15.55,75.35,0,5.5,default
395,27496,15.65,75.35,0,5.5,default
396,27497,15.75,75.35,0,5.5,default
397,27498,15.85,75.35,0,5.5,default
398,27499,15.95,75.35,0,5.5,default
399,27500,16.05,75.35,0,5.5,default
400,27501,16.15,75.35,0,5.5,default
401,27502,16.25,75.35,0,5.5,default
402,27503,16.35,75.35,0,5.5,default
403,27504,16.45,75.35,0,5.5,default
404,27505,16.55,75.35,0,5.5,default
405,27506,16.65,75.35,0,5.5,default
406,27507,16.75,75.35,0,5.5,default
407,27508,16.85,75.35,0,5.5,default
408,27509,16.95,75.35,0,5.5,default
409,27788,11.85,75.45,0,5.5,default
410,27789,11.95,75.45,0,5.5,default
411,27790,12.05,75.45,0,5.5,default
412,27791,12.15,75.45,0,5.5,default
413,27792,12.25,75.45,0,5.5,default
414,27793,12.35,75.45,0,5.5,default
415,27794,12.45,75.45,0,5.5,default
416,27795,12.55,75.45,0,5.5,default
417,27796,12.65,75.45,0,5.5,default
418,27797,12.75,75.45,0,5.5,default
419,27798,12.85,75.45,0,5.5,default
420,27799,12.95,75.45,0,5.5,default
421,27800,13.05,75.45,0,5.5,default
422,27801,13.15,75.45,0,5.5,default
423,27802,13.25,75.45,0,5.5,default
424,27803,13.35,75.45,0,5.5,default
425,27804,13.45,75.45,0,5.5,default
426,27805,13.55,75.45,0,5.5,default
427,27806,13.65,75.45,0,5.5,default
428,27807,13.75,75.45,0,5.5,default
429,27808,13.85,75.45,0,5.5,default
430,27809,13.95,75.45,0,5.5,default
431,27810,14.05,75.45,0,5.5,default
432,27811,14.15,75.45,0,5.5,default
433,27812,14.25,75.45,0,5.5,default
434,27813,14.35,75.45,0,5.5,default
435,27814,14.45,75.45,0,5.5,default
436,27815,14.55,75.45,0,5.5,default
437,27816,14.65,75.45,0,5.5,default
438,27817,14.75,75.45,0,5.5,default
439,27818,14.85,75.45,0,5.5,default
440,27819,14.95,75.45,0,5.5,default
441,27820,15.05,75.45,0,5.5,default
442,27821,15.15,75.45,0,5.5,default
443,27822,15.25,75.45,0,5.5,default
444,27823,15.35,75.45,0,5.5,default
445,27824,15.45,75.45,0,5.5,default
446,27825,15.55,75.45,0,5.5,default
447,27826,15.65,75.45,0,5.5,default
448,27827,15.75,75.45,0,5.5,default
449,27828,15.85,75.45,0,5.5,default
450,27829,15.95,75.45,0,5.5,default
451,27830,16.05,75.45,0,5.5,default
452,27831,16.15,75.45,0,5.5,default
453,27832,16.25,75.45,0,5.5,default
454,27833,16.35,75.45,0,5.5,default
455,27834,16.45,75.45,0,5.5,default
456,27835,16.55,75.45,0,5.5,default
457,27836,16.65,75.45,0,5.5,default
458,27837,16.75,75.45,0,5.5,default
459,27838,16.85,75.45,0,5.5,default
460,27839,16.95,75.45,0,5.5,default
461,28117,11.75,75.55,0,5.5,default
462,28118,11.85,75.55,0,5.5,default
463,28119,11.95,75.55,0,5.5,default
464,28120,12.05,75.55,0,5.5,default
465,28121,12.15,75.55,0,5.5,default
466,28122,12.25,75.55,0,5.5,default
467,28123,12.35,75.55,0,5.5,default
468,28124,12.45,75.55,0,5.5,default
469,28125,12.55,75.55,0,5.5,default
470,28126,12.65,75.55,0,5.5,default
471,28127,12.75,75.55,0,5.5,default
472,28128,12.85,75.55,0,5.5,default
473,28129,12.95,75.55,0,5.5,default
474,28130,13.05,75.55,0,5.5,default
475,28131,13.15,75.55,0,5.5,default
476,28132,13.25,75.55,0,5.5,default
477,28133,13.35,75.55,0,5.5,default
478,28134,13.45,75.55,0,5.5,default
479,28135,13.55,75.55,0,5.5,default
480,28136,13.65,75.55,0,5.5,default
481,28137,13.75,75.55,0,5.5,default
482,28138,13.85,75.55,0,5.5,default
483,28139,13.95,75.55,0,5.5,default
484,28140,14.05,75.55,0,5.5,default
485,28141,14.15,75.55,0,5.5,default
486,28142,14.25,75.55,0,5.5,default
487,28143,14.35,75.55,0,5.5,default
488,28144,14.45,75.55,0,5.5,default
489,28145,14.55,75.55,0,5.5,default
490,28146,14.65,75.55,0,5.5,default
491,28147,14.75,75.55,0,5.5,default
492,28148,14.85,75.55,0,5.5,default
493,28149,14.95,75.55,0,5.5,default
494,28150,15.05,75.55,0,5.5,default
495,28151,15.15,75.55,0,5.5,default
496,28152,15.25,75.55,0,5.5,default
497,28153,15.35,75.55,0,5.5,default
498,28154,15.45,75.55,0,5.5,default
499,28155,15.55,75.55,0,5.5,default
500,28156,15.65,75.55,0,5.5,default
501,28157,15.75,75.55,0,5.5,default
502,28158,15.85,75.55,0,5.5,default
503,28159,15.95,75.55,0,5.5,default
504,28160,16.05,75.55,0,5.5,default
505,28161,16.15,75.55,0,5.5,default
