gid,latitude,longitude,elevation,offshore,wrf_region,config
347602,8.323082,77.0991,26,0,1,default
347603,8.323082,77.12864,64,0,1,default
347604,8.323082,77.15817,47,0,1,default
347605,8.323082,77.18771,57,0,1,default
347606,8.323082,77.21725,22,0,1,default
347607,8.323082,77.24679,34,0,1,default
347608,8.323082,77.27633,40,0,1,default
347609,8.323082,77.30586,101,0,1,default
347610,8.323082,77.3354,185,0,1,default
347611,8.323082,77.36494,283,0,1,default
347612,8.323082,77.39448,99,0,1,default
347613,8.323082,77.42401,86,0,1,default
347614,8.323082,77.45355,49,0,1,default
347615,8.323082,77.483086,411,0,1,default
347616,8.323082,77.51263,426,0,1,default
347617,8.323082,77.54216,136,0,1,default
347618,8.323082,77.5717,109,0,1,default
347619,8.323082,77.60124,92,0,1,default
347620,8.323082,77.630775,79,0,1,default
347621,8.323082,77.66032,63,0,1,default
347622,8.323082,77.68985,50,0,1,default
347623,8.323082,77.71939,39,0,1,default
347624,8.323082,77.748924,34,0,1,default
347625,8.323082,77.778465,26,0,1,default
347626,8.323082,77.808,25,0,1,default
347627,8.323082,77.83754,25,0,1,default
347628,8.323082,77.86707,17,0,1,default
347629,8.323082,77.896614,14,0,1,default
347630,8.323082,77.926155,18,0,1,default
347631,8.323082,77.95569,10,0,1,default
348251,8.35231,77.04002,43,0,1,default
348252,8.35231,77.069565,52,0,1,default
348254,8.35231,77.12864,40,0,1,default
348255,8.35231,77.15817,56,0,1,default
348256,8.35231,77.18771,45,0,1,default
348257,8.35231,77.21725,30,0,1,default
348258,8.35231,77.24679,40,0,1,default
348259,8.35231,77.27633,72,0,1,default
348260,8.35231,77.30586,79,0,1,default
348261,8.35231,77.3354,86,0,1,default
348262,8.35231,77.36494,93,0,1,default
348263,8.35231,77.39448,247,0,1,default
348264,8.35231,77.42401,155,0,1,default
348265,8.35231,77.45355,625,0,1,default
348266,8.35231,77.483086,960,0,1,default
348267,8.35231,77.51263,597,0,1,default
348268,8.35231,77.54216,135,0,1,default
348269,8.35231,77.5717,120,0,1,default
348270,8.35231,77.60124,99,0,1,default
348271,8.35231,77.630775,78,0,1,default
348272,8.35231,77.66032,70,0,1,default
348273,8.35231,77.68985,56,0,1,default
348274,8.35231,77.71939,53,0,1,default
348275,8.35231,77.748924,39,0,1,default
348276,8.35231,77.778465,32,0,1,default
348277,8.35231,77.808,39,0,1,default
348278,8.35231,77.83754,25,0,1,default
348279,8.35231,77.86707,34,0,1,default
348280,8.35231,77.896614,27,0,1,default
348281,8.35231,77.926155,10,0,1,default
348282,8.35231,77.95569,6,0,1,default
348283,8.35231,77.98523,20,0,1,default
348899,8.381531,76.98095,2,0,1,default
348900,8.381531,77.01049,52,0,1,default
348901,8.381531,77.04002,55,0,1,default
348903,8.381531,77.0991,23,0,1,default
348904,8.381531,77.12864,59,0,1,default
348905,8.381531,77.15817,95,0,1,default
348906,8.381531,77.18771,67,0,1,default
348907,8.381531,77.21725,66,0,1,default
348908,8.381531,77.24679,62,0,1,default
348909,8.381531,77.27633,92,0,1,default
348910,8.381531,77.30586,90,0,1,default
348911,8.381531,77.3354,491,0,1,default
348912,8.381531,77.36494,106,0,1,default
348913,8.381531,77.39448,123,0,1,default
348914,8.381531,77.42401,243,0,1,default
348915,8.381531,77.45355,627,0,1,default
348916,8.381531,77.483086,1231,0,1,default
348917,8.381531,77.51263,883,0,1,default
348918,8.381531,77.54216,239,0,1,default
348919,8.381531,77.5717,141,0,1,default
348920,8.381531,77.60124,107,0,1,default
348921,8.381531,77.630775,87,0,1,default
348922,8.381531,77.66032,78,0,1,default
348923,8.381531,77.68985,65,0,1,default
348924,8.381531,77.71939,44,0,1,default
348925,8.381531,77.748924,44,0,1,default
348926,8.381531,77.778465,39,0,1,default
348927,8.381531,77.808,36,0,1,default
348928,8.381531,77.83754,33,0,1,default
348929,8.381531,77.86707,59,0,1,default
348930,8.381531,77.896614,52,0,1,default
348931,8.381531,77.926155,21,0,1,default
348932,8.381531,77.95569,10,0,1,default
348933,8.381531,77.98523,15,0,1,default
348934,8.381531,78.01476,14,0,1,default
348935,8.381531,78.044304,8,0,1,default
349551,8.410744,76.98095,97,0,1,default
349552,8.410744,77.01049,66,0,1,default
349553,8.410744,77.04002,73,0,1,default
349554,8.410744,77.069565,44,0,1,default
349555,8.410744,77.0991,38,0,1,default
349556,8.410744,77.12864,64,0,1,default
349557,8.410744,77.15817,73,0,1,default
349558,8.410744,77.18771,114,0,1,default
349559,8.410744,77.21725,84,0,1,default
349560,8.410744,77.24679,96,0,1,default
349561,8.410744,77.27633,70,0,1,default
349563,8.410744,77.3354,117,0,1,default
349564,8.410744,77.36494,544,0,1,default
349565,8.410744,77.39448,153,0,1,default
349566,8.410744,77.42401,425,0,1,default
349567,8.410744,77.45355,805,0,1,default
349568,8.410744,77.483086,606,0,1,default
349569,8.410744,77.51263,303,0,1,default
349570,8.410744,77.54216,164,0,1,default
349571,8.410744,77.5717,127,0,1,default
349572,8.410744,77.60124,154,0,1,default
349573,8.410744,77.630775,87,0,1,default
349574,8.410744,77.66032,71,0,1,default
349575,8.410744,77.68985,61,0,1,default
349576,8.410744,77.71939,54,0,1,default
349577,8.410744,77.748924,55,0,1,default
349578,8.410744,77.778465,48,0,1,default
349579,8.410744,77.808,41,0,1,default
349580,8.410744,77.83754,39,0,1,default
349581,8.410744,77.86707,40,0,1,default
349582,8.410744,77.896614,50,0,1,default
349583,8.410744,77.926155,30,0,1,default
349584,8.410744,77.95569,14,0,1,default
349585,8.410744,77.98523,16,0,1,default
349586,8.410744,78.01476,17,0,1,default
349587,8.410744,78.044304,6,0,1,default
350202,8.439972,76.951416,15,0,1,default
350204,8.439972,77.01049,29,0,1,default
350205,8.439972,77.04002,63,0,1,default
350206,8.439972,77.069565,58,0,1,default
350207,8.439972,77.0991,32,0,1,default
350208,8.439972,77.12864,80,0,1,default
350209,8.439972,77.15817,92,0,1,default
350210,8.439972,77.18771,110,0,1,default
350211,8.439972,77.21725,214,0,1,default
350212,8.439972,77.24679,91,0,1,default
350213,8.439972,77.27633,184,0,1,default
350215,8.439972,77.3354,86,0,1,default
350216,8.439972,77.36494,493,0,1,default
350217,8.439972,77.39448,314,0,1,default
350218,8.439972,77.42401,943,0,1,default
350219,8.439972,77.45355,1006,0,1,default
350220,8.439972,77.483086,825,0,1,default
350221,8.439972,77.51263,250,0,1,default
350222,8.439972,77.54216,126,0,1,default
350223,8.439972,77.5717,103,0,1,default
350224,8.439972,77.60124,95,0,1,default
350225,8.439972,77.630775,87,0,1,default
350226,8.439972,77.66032,77,0,1,default
350227,8.439972,77.68985,67,0,1,default
350228,8.439972,77.71939,68,0,1,default
350229,8.439972,77.748924,67,0,1,default
350230,8.439972,77.778465,57,0,1,default
350231,8.439972,77.808,42,0,1,default
350232,8.439972,77.83754,37,0,1,default
350233,8.439972,77.86707,30,0,1,default
350234,8.439972,77.896614,26,0,1,default
350235,8.439972,77.926155,24,0,1,default
350236,8.439972,77.95569,15,0,1,default
350237,8.439972,77.98523,12,0,1,default
350238,8.439972,78.01476,15,0,1,default
350239,8.439972,78.044304,11,0,1,default
350240,8.439972,78.07384,10,0,1,default
350853,8.469185,76.921875,9,0,1,default
350856,8.469185,77.01049,90,0,1,default
